LDA1,LDA2,Target
1.226262906791358,-1.730918586980069,2.0
-0.8655208216534583,0.5494584755178172,1.0
-1.303950907821921,0.8168926853674785,1.0
0.4703660477217549,-1.2146149210811263,1.0
-0.5886132230064209,0.8245818474226035,1.0
-0.7244378406691986,1.5051897438382167,1.0
0.7970059012919308,-0.08531771982972858,1.0
6.1174241384105255,3.1218830111246927,3.0
-0.2678399245334558,1.1482575052422472,1.0
-0.49375003697202696,0.22479102798662767,1.0
-0.6191788401612175,0.3985274206600369,1.0
-0.5714850083975151,0.5680546116045246,1.0
-1.4765208428826568,0.004711773960754173,1.0
-0.03486272122167683,-0.05484759012366186,1.0
-1.0163457186353029,-0.4628161778268396,1.0
-1.0614736963848508,0.7744409510298476,1.0
-1.4022523810107168,0.18570555657447205,1.0
-0.46519289532518104,0.8099481797749333,1.0
-0.7952327137778892,0.14864054309088837,1.0
-0.8896337497699323,-0.36511884690924634,1.0
1.9977788782228347,-2.1333819472212268,1.0
-0.9677209871662653,1.1311267434428542,1.0
0.5252777506246417,-1.2475814183078333,1.0
-0.9668815792610459,0.21466107883150798,1.0
1.6944641578242807,0.8984499381525775,1.0
-0.5580218413999465,-0.8720452635019608,1.0
0.6759326516572619,-0.4664406513577304,1.0
-1.5383755752693706,0.49639964662279584,1.0
-0.14290538247675627,-0.7669793815692973,1.0
-1.849449778983502,0.3871590573397519,1.0
-0.6948939185827883,-0.26098396225924525,1.0
0.6757221119639852,0.7581110929170847,1.0
3.001979981045614,-1.1761124057649575,3.0
-0.794713067352532,-0.16284256193119437,1.0
0.39949695820964537,-1.7538306170147435,2.0
-0.7529322009465473,-0.3265087410169361,1.0
-0.8618926377462267,-0.7704416714257694,1.0
-0.86142620568482,2.3236905677748276,1.0
-0.645782220273031,0.41697300121011716,1.0
-0.47942409419309395,-0.9892936274729336,1.0
-0.9502359618953476,0.29050774942100543,1.0
-1.5801153190394512,0.8805148700687224,1.0
-0.030165791739896947,1.111393274085961,1.0
-1.49399710607845,0.20018566208478086,1.0
0.250388387476236,-0.8130542423981381,1.0
-1.280538381551182,0.7030113093488322,1.0
2.177028125037667,0.7514060016881807,3.0
-0.8966829610017806,-0.2800165878656319,1.0
